activationfunction,layer,neurons,adamtime,lbfgstime,totaltime,steps,adamtrainloss1,adamtrainloss2,adamtrainloss3,adamtestloss1,adamtestloss2,adamtestloss3,lbfgstrainloss1,lbfgstrainloss2,lbfgstrainloss3,lbfgstestloss1,lbfgstestloss2,lbfgstestloss3,diffpoint,mean
tanh,1,1,1.865126371383667,0.2016894817352295,2.0668158531188965,5057.0,0.2389131337404251,12.886610984802246,36.17847442626953,0.2750234603881836,12.886610984802246,36.17847442626953,0.030398301780223846,0.08555493503808974,0.3824462890625,0.03095935471355915,0.08555493503808974,0.3824462890625,0.14851549777636044,0.23902348294090903
tanh,1,2,2.06459641456604,0.20556163787841797,2.270158052444458,5045.0,0.8173134922981262,1.353129506111145,1.0134801864624023,0.9281811118125917,1.353129506111145,1.0134801864624023,0.0935542806982994,0.03255254402756691,0.11353190243244173,0.10746414959430695,0.03255254402756691,0.11353190243244173,0.5401744791542579,0.24671882120110955
tanh,1,5,2.1357412338256836,0.7923011779785156,2.928042411804199,5520.0,0.257065623998642,0.033929020166397095,0.06554274260997772,0.2564619481563568,0.033929020166397095,0.06554274260997772,0.006426287814974785,0.003207102417945862,0.002917749108746648,0.0047899517230689526,0.003207102417945862,0.002917749108746648,0.05167282137522214,0.029336197750655605
tanh,1,10,2.2764551639556885,1.8144259452819824,4.090881109237671,6215.0,0.13169556856155396,0.052273482084274285,0.10041362792253494,0.08705340325832368,0.052273482084274285,0.10041362792253494,0.0002355966571485624,6.770713662263006e-05,2.6545007131062448e-05,0.00018680174252949652,6.770713662263006e-05,2.6545007131062448e-05,0.0003036311591576857,0.003559444848599009
tanh,1,15,2.4575536251068115,2.7991645336151123,5.256718158721924,6858.0,0.09266907721757887,0.02442695014178753,0.0669652670621872,0.05894356220960617,0.02442695014178753,0.0669652670621872,5.934415094088762e-05,6.072211363061797e-06,3.91586854675552e-06,6.359695544233546e-05,6.072211363061797e-06,3.91586854675552e-06,0.0017560771430444044,0.0010920320020036838
tanh,1,20,2.3159101009368896,2.0569756031036377,4.372885704040527,6353.0,0.06943768262863159,0.02827472612261772,0.049169495701789856,0.047789685428142555,0.02827472612261772,0.049169495701789856,7.719321729382499e-05,2.9484706374205416e-06,5.650222647091141e-06,8.589318895246834e-05,2.9484706374205416e-06,5.650222647091141e-06,0.0009511760199975294,0.0012691628385766473
tanh,1,25,2.4129092693328857,2.1739373207092285,4.586846590042114,6524.0,0.09943389147520064,0.02825249917805195,0.0510285310447216,0.07800614088773726,0.02825249917805195,0.0510285310447216,1.2091458302165847e-05,9.427437817066676e-07,1.1089075542258795e-06,1.2226988474139944e-05,9.427437817066676e-07,1.1089075542258795e-06,0.0006720372711706835,0.00042045037437900984
tanh,1,30,2.6472268104553223,2.138483762741089,4.785710573196411,6349.0,0.10688810050487518,0.028873968869447708,0.0676719918847084,0.0654129683971405,0.028873968869447708,0.0676719918847084,2.84216021100292e-05,1.4264151104725895e-06,1.367833533549856e-06,3.1538445909973234e-05,1.4264151104725895e-06,1.367833533549856e-06,0.000383729604392119,0.0005534390698748186
tanh,1,35,2.631331443786621,1.8949081897735596,4.526239633560181,6209.0,0.09986504912376404,0.01732615940272808,0.0539419949054718,0.07732182741165161,0.01732615940272808,0.0539419949054718,3.0782586691202596e-05,4.720659489976241e-06,2.285230948473327e-06,2.6513616830925457e-05,4.720659489976241e-06,2.285230948473327e-06,0.0013234070266198439,0.0008522528840655827
tanh,1,40,2.683598518371582,3.025683879852295,5.709282398223877,6885.0,0.03553522005677223,0.006430137902498244,0.008533579297363758,0.01710147224366665,0.006430137902498244,0.008533579297363758,6.982044851611136e-06,4.7626446075810247e-07,1.3801495413190426e-07,7.347935479629086e-06,4.7626446075810247e-07,1.3801495413190426e-07,0.00024485078206545885,0.00031132060295244163
tanh,2,1,1.9634363651275635,0.3380758762359619,2.3015122413635254,5128.0,0.11991814523935317,8.421484947204588,42.91619873046875,0.07627655565738678,8.421484947204588,42.91619873046875,0.019560104236006737,0.08865594863891602,0.45043292641639704,0.02076715975999832,0.08865594863891602,0.45043292641639704,0.1980456164802026,0.25446702582411324
